org,dashboard,dashboard_uid,folder_title,folder_id,folder_url,item_source,panel_id,item_id,item_name,url,includeVariables,issue
VF Petroleum,Production History,dcbcad05-4015-48e2-a2b9-fee6dce8426f,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam}&${nodeId:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/24-hour-status-summary?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Quick View,Quick View,/d/de11e17c-6fdd-40c7-a942-5712472b8a46/real-time3a-quick-view?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/heath-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Production Optimization,eeoo9e4vx3cowc,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Quick View,de11e17c-6fdd-40c7-a942-5712472b8a46,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Status,Status,/d/s6-EeN-Vz/daily-esp-status?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Quick View,de11e17c-6fdd-40c7-a942-5712472b8a46,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Health Check,Health Check,/d/DwPYb484z/health-check?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Quick View,de11e17c-6fdd-40c7-a942-5712472b8a46,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Setpoints,Setpoints,/d/f11e0c99-1940-4df7-8e40-7377f0ed262c/setpoints?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
VF Petroleum,Real Time: Quick View,de11e17c-6fdd-40c7-a942-5712472b8a46,VF Petroleum,3236,/dashboards/f/eevdypzl69ou8b/vf-petroleum,dashboard,,Reports,Reports,/d/ca401882-9c38-49ad-8f0c-f4e8fcf05451/reports?${Area:queryparam}&${County:queryparam}&${Battery:queryparam}&${Formation:queryparam},False,"url_has_params,includeVars_false_or_missing"
